marker_x,marker_z
0.003,1.127
0.387,1.617
1.170,0.960
0.701,1.792
1.646,1.493
0.348,1.718
1.421,1.027
0.608,0.030
0.183,0.729
0.295,0.332
1.977,0.891
0.238,0.009
0.018,0.756
1.063,1.142
1.204,1.214
0.332,1.326
0.902,0.704
0.114,1.215
1.567,1.605
1.040,0.604
1.752,1.453
1.912,1.851
1.079,0.285
0.924,0.471
1.724,0.419
1.559,1.687
1.994,1.999
1.223,0.785
0.532,0.595
1.680,0.047
0.752,0.185
1.354,0.112
0.018,1.838
0.552,0.546
1.176,1.382
1.675,1.453
0.970,0.411
1.487,0.937
0.916,1.898
1.489,0.217
1.198,0.770
1.470,1.218
1.145,0.723
0.303,0.450
0.850,1.606
1.034,1.980
1.503,0.691
0.338,1.315
0.984,0.127
1.400,3.010
0.295,3.899
0.283,3.810
1.386,2.606
0.853,2.141
1.933,3.366
0.306,3.755
1.643,3.164
0.383,2.356
1.634,2.951
0.311,3.008
1.464,2.811
0.559,3.137
1.364,3.512
1.444,2.951
0.246,2.736
1.669,2.070
1.034,3.326
0.852,2.209
1.899,3.843
1.099,2.692
0.943,2.750
1.694,2.634
0.912,2.544
1.966,2.596
1.478,3.135
0.392,3.523
1.679,2.795
1.002,3.780
0.055,3.989
1.145,2.101
1.063,2.388
1.686,3.254
1.315,2.396
1.684,2.247
0.220,3.486
0.628,3.882
0.572,2.673
0.281,3.466
1.669,3.416
1.200,3.494
0.505,2.289
0.003,2.122
1.612,3.705
0.421,2.231
1.106,2.029
0.228,2.909
1.504,3.372
1.087,2.148
0.873,4.404
1.392,4.581
0.873,4.465
1.156,5.065
1.257,4.320
1.008,5.926
1.392,5.850
0.380,4.672
0.357,5.990
0.915,5.996
0.195,5.250
0.189,4.875
1.863,4.097
1.789,4.580
0.455,5.538
0.821,4.404
1.256,5.208
0.903,4.933
1.196,5.269
1.710,5.658
1.250,5.442
1.132,4.750
0.369,5.476
1.110,5.810
0.486,4.378
1.209,5.397
1.169,4.703
0.989,4.161
1.481,5.224
1.241,5.382
1.609,4.298
1.152,5.735
1.823,5.229
1.455,4.086
1.336,5.953
0.630,5.138
0.612,4.348
0.217,5.738
1.702,5.489
0.310,4.654
0.159,4.153
1.282,5.640
1.090,4.897
0.818,4.597
0.931,5.002
0.305,4.646
1.476,4.628
1.653,5.918
1.747,5.450
0.600,7.888
0.254,6.131
1.570,7.049
1.219,7.912
0.145,7.751
1.308,6.644
0.210,7.010
0.454,6.581
1.840,7.102
1.326,6.229
0.985,6.758
0.994,7.587
1.019,6.765
1.376,7.064
1.213,6.790
0.012,7.416
0.201,7.246
1.726,6.983
1.495,6.994
0.760,7.571
1.106,6.714
1.911,7.262
0.353,6.748
0.263,7.487
1.903,7.224
0.056,6.660
0.112,7.278
0.263,7.694
1.729,7.194
1.443,7.708
0.029,6.253
1.416,7.234
0.435,6.132
0.338,7.248
0.682,6.639
0.735,7.322
1.605,7.614
1.053,7.222
1.596,7.801
0.290,7.260
0.805,6.507
